,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS
922,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
923,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
924,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
925,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
926,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000
927,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
928,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
929,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
930,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
931,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
932,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000
933,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
934,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
935,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
936,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
937,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
938,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
939,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
940,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
941,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
942,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000
943,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
944,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
945,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000
946,AA,American Airlines Inc.,2015,Y,AIRBUS,A321-231,47200
947,AA,American Airlines Inc.,2015,Y,AIRBUS,A321-231,47200
948,AA,American Airlines Inc.,2015,Y,AIRBUS,A321-231,47200
949,AA,American Airlines Inc.,2015,Y,AIRBUS,A321-231,47200
950,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-132,36700
951,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-132,36700
952,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
953,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
954,AA,American Airlines Inc.,2016,Y,AIRBUS,A321-231,52200
955,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
956,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
957,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
958,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
959,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
960,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
