IATA Code,Airline Name,Year,Month,Month Number,Quarter,Total Fuel Consumed (thousands of gallons),Total Cost of Fuel (dollars),Cost per Gallon (dollars),CO2 Emissions (Thousands of Gallons)
UA,United Air Lines,2010,December,12,4,"157,421","390,729",2.48,495876.15
UA,United Air Lines,2011,January,1,1,"151,945","394,057",2.59,478626.75
UA,United Air Lines,2011,February,2,1,"135,990","370,658",2.73,428368.5
UA,United Air Lines,2011,March,3,1,"158,168","490,092",3.1,498229.2
UA,United Air Lines,2011,April,4,2,"156,979","512,507",3.26,494483.85
UA,United Air Lines,2011,May,5,2,"162,034","534,419",3.3,510407.1
UA,United Air Lines,2011,June,6,2,"167,656","507,522",3.03,528116.4
UA,United Air Lines,2011,July,7,3,"176,677","555,241",3.14,556532.55
UA,United Air Lines,2011,August,8,3,"173,370","544,007",3.14,546115.5
UA,United Air Lines,2011,September,9,3,"155,282","485,732",3.13,489138.3
UA,United Air Lines,2011,October,10,4,"157,864","481,714",3.05,497271.6
UA,United Air Lines,2011,November,11,4,"139,922","431,260",3.08,440754.3
UA,United Air Lines,2011,December,12,4,"147,367","459,617",3.12,464206.05
UA,United Air Lines,2012,January,1,1,"259,449","795,882",3.07,817264.35
UA,United Air Lines,2012,February,2,1,"248,130","780,385",3.15,781609.5
UA,United Air Lines,2012,March,3,1,"280,902","930,950",3.31,884841.3
UA,United Air Lines,2012,April,4,2,"269,085","888,045",3.3,847617.75
UA,United Air Lines,2012,May,5,2,"286,390","912,376",3.19,902128.5
UA,United Air Lines,2012,June,6,2,"291,939","853,840",2.92,919607.85
UA,United Air Lines,2012,July,7,3,"304,693","860,676",2.82,959782.95
UA,United Air Lines,2012,August,8,3,"298,745","905,586",3.03,941046.75
UA,United Air Lines,2012,September,9,3,"265,474","862,263",3.25,836243.1
UA,United Air Lines,2012,October,10,4,"263,099","849,876",3.23,828761.85
UA,United Air Lines,2012,November,11,4,"241,568","754,158",3.12,760939.2
UA,United Air Lines,2012,December,12,4,"257,339","789,201",3.07,810617.85
UA,United Air Lines,2013,January,1,1,"253,566","787,791",3.11,798732.9
UA,United Air Lines,2013,February,2,1,"226,843","733,540",3.23,714555.45
UA,United Air Lines,2013,March,3,1,"266,700","852,764",3.2,840105
UA,United Air Lines,2013,April,4,2,"262,757","784,225",2.98,827684.55
UA,United Air Lines,2013,May,5,2,"277,543","786,146",2.83,874260.45
UA,United Air Lines,2013,June,6,2,"284,796","801,098",2.81,897107.4
UA,United Air Lines,2013,July,7,3,"294,567","856,356",2.91,927886.05
UA,United Air Lines,2013,August,8,3,"292,745","872,728",2.98,922146.75
UA,United Air Lines,2013,September,9,3,"262,272","802,394",3.06,826156.8
UA,United Air Lines,2013,October,10,4,"268,679","801,471",2.98,846338.85
UA,United Air Lines,2013,November,11,4,"248,373","732,026",2.95,782374.95
UA,United Air Lines,2013,December,12,4,"257,601","770,831",2.99,811443.15
UA,United Air Lines,2014,January,1,1,"246,576","747,869",3.03,776714.4
UA,United Air Lines,2014,February,2,1,"225,968","680,980",3.01,711799.2
UA,United Air Lines,2014,March,3,1,"271,563","816,224",3.01,855423.45
UA,United Air Lines,2014,April,4,2,"256,079","762,266",2.98,806648.85
UA,United Air Lines,2014,May,5,2,"278,506","827,216",2.97,877293.9
UA,United Air Lines,2014,June,6,2,"285,323","842,080",2.95,898767.45
UA,United Air Lines,2014,July,7,3,"296,160","870,890",2.94,932904
UA,United Air Lines,2014,August,8,3,"288,381","841,512",2.92,908400.15
UA,United Air Lines,2014,September,9,3,"258,477","727,465",2.81,814202.55
UA,United Air Lines,2014,October,10,4,"267,043","710,896",2.66,841185.45
UA,United Air Lines,2014,November,11,4,"241,433","600,034",2.49,760513.95
UA,United Air Lines,2014,December,12,4,"255,982","571,002",2.23,806343.3
UA,United Air Lines,2015,January,1,1,"244,263","445,172",1.82,769428.45
UA,United Air Lines,2015,February,2,1,"220,812","378,918",1.72,695557.8
UA,United Air Lines,2015,March,3,1,"266,845","490,362",1.84,840561.75
UA,United Air Lines,2015,April,4,2,"259,652","455,857",1.76,817903.8
UA,United Air Lines,2015,May,5,2,"279,542","536,654",1.92,880557.3
UA,United Air Lines,2015,June,6,2,"289,144","549,648",1.9,910803.6
UA,United Air Lines,2015,July,7,3,"302,246","535,870",1.77,952074.9
UA,United Air Lines,2015,August,8,3,"294,612","466,182",1.58,928027.8
UA,United Air Lines,2015,September,9,3,"260,371","387,582",1.49,820168.65
UA,United Air Lines,2015,October,10,4,"269,235","401,141",1.49,848090.25
UA,United Air Lines,2015,November,11,4,"246,236","345,205",1.4,775643.4
UA,United Air Lines,2015,December,12,4,"262,330","349,939",1.33,826339.5
UA,United Air Lines,2016,January,1,1,"238,772","275,699",1.15,752131.8
UA,United Air Lines,2016,February,2,1,"227,342","240,320",1.06,716127.3
UA,United Air Lines,2016,March,3,1,"263,638","295,890",1.12,830459.7
UA,United Air Lines,2016,April,4,2,"255,793","305,499",1.19,805747.95
UA,United Air Lines,2016,May,5,2,"279,863","368,473",1.32,881568.45
UA,United Air Lines,2016,June,6,2,"292,031","419,743",1.44,919897.65
UA,United Air Lines,2016,July,7,3,"308,403","443,291",1.44,971469.45
UA,United Air Lines,2016,August,8,3,"302,741","409,930",1.35,953634.15
UA,United Air Lines,2016,September,9,3,"272,772","380,223",1.39,859231.8
UA,United Air Lines,2016,October,10,4,"276,721","406,106",1.47,871671.15
UA,United Air Lines,2016,November,11,4,"250,713","367,528",1.47,789745.95
UA,United Air Lines,2016,December,12,4,"271,428","411,647",1.52,854998.2
UA,United Air Lines,2017,January,1,1,"253,274","409,730",1.62,797813.1
UA,United Air Lines,2017,February,2,1,"228,765","372,731",1.63,720609.75
UA,United Air Lines,2017,March,3,1,"273,111","438,687",1.61,860299.65
UA,United Air Lines,2017,April,4,2,"267,597","425,294",1.59,842930.55
UA,United Air Lines,2017,May,5,2,"290,061","445,260",1.54,913692.15
UA,United Air Lines,2017,June,6,2,"305,311","450,277",1.47,961729.65
UA,United Air Lines,2017,July,7,3,"320,382","469,265",1.46,1009203.3
UA,United Air Lines,2017,August,8,3,"309,523","490,161",1.58,974997.45
UA,United Air Lines,2017,September,9,3,"274,026","474,566",1.73,863181.9
UA,United Air Lines,2017,October,10,4,"280,856","494,543",1.76,884696.4
UA,United Air Lines,2017,November,11,4,"259,627","469,515",1.81,817825.05
UA,United Air Lines,2017,December,12,4,"273,222","512,556",1.88,860649.3
UA,United Air Lines,2018,January,1,1,"254,781","505,600",1.98,802560.15
UA,United Air Lines,2018,February,2,1,"234,320","473,014",2.02,738108
UA,United Air Lines,2018,March,3,1,"278,100","548,004",1.97,876015
UA,United Air Lines,2018,April,4,2,"277,021","567,162",2.05,872616.15
UA,United Air Lines,2018,May,5,2,"295,445","645,395",2.18,930651.75
UA,United Air Lines,2018,June,6,2,"310,146","684,459",2.21,976959.9
UA,United Air Lines,2018,July,7,3,"325,157","706,858",2.17,1024244.55
UA,United Air Lines,2018,August,8,3,"317,525","691,160",2.18,1000203.75
UA,United Air Lines,2018,September,9,3,"283,753","631,116",2.22,893821.95
UA,United Air Lines,2018,October,10,4,"294,658","683,937",2.32,928172.7
UA,United Air Lines,2018,November,11,4,"272,229","613,869",2.25,857521.35
UA,United Air Lines,2018,December,12,4,"287,442","566,889",1.97,905442.3
UA,United Air Lines,2019,January,1,1,"268,840","498,358",1.85,846846
UA,United Air Lines,2019,February,2,1,"243,621","470,782",1.93,767406.15
UA,United Air Lines,2019,March,3,1,"296,835","595,687",2.01,935030.25
UA,United Air Lines,2019,April,4,2,"288,151","589,803",2.05,907675.65
UA,United Air Lines,2019,May,5,2,"308,455","651,678",2.11,971633.25
UA,United Air Lines,2019,June,6,2,"319,404","626,521",1.96,1006122.6
UA,United Air Lines,2019,July,7,3,"328,107","643,380",1.96,1033537.05
UA,United Air Lines,2019,August,8,3,"323,291","623,762",1.93,1018366.65
UA,United Air Lines,2019,September,9,3,"291,262","558,379",1.92,917475.3
UA,United Air Lines,2019,October,10,4,"300,879","593,124",1.97,947768.85
UA,United Air Lines,2019,November,11,4,"280,112","552,814",1.97,882352.8
UA,United Air Lines,2019,December,12,4,"299,522","590,879",1.97,943494.3
