,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS,NO. AIRCRAFTS
154,B6,JetBlue Airways,2012,Y,EMBRAER,E190-100,25200,3
155,B6,JetBlue Airways,2013,Y,AIRBUS,A320-232,37400,3
156,B6,JetBlue Airways,2013,Y,AIRBUS,A321-231,43400,4
157,B6,JetBlue Airways,2013,Y,EMBRAER,E190-100,25200,7
158,B6,JetBlue Airways,2014,Y,AIRBUS,A321-231,43400,9
159,B6,JetBlue Airways,2015,Y,AIRBUS,A321-231,43400,12
160,B6,JetBlue Airways,2016,Y,AIRBUS,A321-231,43400,12
161,B6,JetBlue Airways,2017,Y,AIRBUS,A321-231,43400,16
162,B6,JetBlue Airways,2018,Y,AIRBUS,A321-231,43400,10
163,B6,JetBlue Airways,2019,Y,AIRBUS,A321-271NX,43400,6
164,B6,JetBlue Airways,2020,Y,AIRBUS,A220-300,0,1
165,B6,JetBlue Airways,2020,Y,AIRBUS,A321-271NX,43400,7
166,DL,Delta Air Lines Inc.,1990,Y,AIRBUS,A320-211-PSGR,36652,2
167,DL,Delta Air Lines Inc.,1990,Y,BOEING,757-232-PSGR,50500,3
168,DL,Delta Air Lines Inc.,1991,Y,AIRBUS,A320-211-PSGR,36652,3
169,DL,Delta Air Lines Inc.,1991,Y,BOEING,757-232-PSGR,49900,1
170,DL,Delta Air Lines Inc.,1991,Y,BOEING,757-232-PSGR,50500,3
171,DL,Delta Air Lines Inc.,1992,Y,AIRBUS,A320-211-PSGR,36652,3
172,DL,Delta Air Lines Inc.,1992,Y,AIRBUS,A320-212-PSGR,36952,11
173,DL,Delta Air Lines Inc.,1992,Y,BOEING,757-232-PSGR,49900,8
174,DL,Delta Air Lines Inc.,1992,Y,BOEING,757-232-PSGR,50500,2
175,DL,Delta Air Lines Inc.,1992,Y,BOEING,767-332ER-PSGR,76340,3
176,DL,Delta Air Lines Inc.,1993,Y,AIRBUS,A320-212-PSGR,36952,5
177,DL,Delta Air Lines Inc.,1993,Y,BOEING,757-232-PSGR,49900,1
178,DL,Delta Air Lines Inc.,1993,Y,BOEING,757-232-PSGR,50500,3
179,DL,Delta Air Lines Inc.,1993,Y,BOEING,757-2Q8-PSGR,49400,1
180,DL,Delta Air Lines Inc.,1993,Y,BOEING,767-332ER-PSGR,76340,1
181,DL,Delta Air Lines Inc.,1995,Y,BOEING,757-232-PSGR,50500,2
182,DL,Delta Air Lines Inc.,1995,Y,BOEING,757-251-PSGR,49900,2
183,DL,Delta Air Lines Inc.,1995,Y,BOEING,767-332ER-PSGR,76340,1
184,DL,Delta Air Lines Inc.,1996,Y,BOEING,757-251-PSGR,49900,13
185,DL,Delta Air Lines Inc.,1996,Y,BOEING,757-2Q8-PSGR,49400,2
186,DL,Delta Air Lines Inc.,1996,Y,BOEING,767-332ER-PSGR,76340,2
187,DL,Delta Air Lines Inc.,1997,Y,AIRBUS,A320-212-PSGR,36952,1
188,DL,Delta Air Lines Inc.,1997,Y,BOEING,757-231-PSGR,49400,2
189,DL,Delta Air Lines Inc.,1997,Y,BOEING,757-26D-PSGR,50500,1
190,DL,Delta Air Lines Inc.,1997,Y,BOEING,757-2Q8-PSGR,49400,7
191,DL,Delta Air Lines Inc.,1997,Y,BOEING,767-332ER-PSGR,76340,9
192,DL,Delta Air Lines Inc.,1998,Y,AIRBUS,A320-212-PSGR,36952,12
193,DL,Delta Air Lines Inc.,1998,Y,BOEING,737-832-PSGR,42132,5
194,DL,Delta Air Lines Inc.,1998,Y,BOEING,757-232-PSGR,49400,2
195,DL,Delta Air Lines Inc.,1998,Y,BOEING,757-232-PSGR,49900,2
196,DL,Delta Air Lines Inc.,1998,Y,BOEING,757-232-PSGR,50500,4
197,DL,Delta Air Lines Inc.,1998,Y,BOEING,767-332ER-PSGR,76340,9
198,DL,Delta Air Lines Inc.,1999,Y,AIRBUS,A319-114-PSGR,35490,2
199,DL,Delta Air Lines Inc.,1999,Y,AIRBUS,A320-212-PSGR,36952,7
200,DL,Delta Air Lines Inc.,1999,Y,BOEING,717-200-PSGR,29600,9
201,DL,Delta Air Lines Inc.,1999,Y,BOEING,737-832-PSGR,42132,11
202,DL,Delta Air Lines Inc.,1999,Y,BOEING,757-231-PSGR,48400,4
203,DL,Delta Air Lines Inc.,1999,Y,BOEING,757-231-PSGR,50500,1
204,DL,Delta Air Lines Inc.,1999,Y,BOEING,757-232-PSGR,49400,4
205,DL,Delta Air Lines Inc.,1999,Y,BOEING,757-232-PSGR,50500,3
206,DL,Delta Air Lines Inc.,1999,Y,BOEING,767-332ER-PSGR,76340,7
207,DL,Delta Air Lines Inc.,1999,Y,BOEING,767-3P6ER-PSGR,76340,1
208,DL,Delta Air Lines Inc.,2000,Y,AIRBUS,A319-114-PSGR,35490,7
209,DL,Delta Air Lines Inc.,2000,Y,BOEING,717-200-PSGR,29600,15
210,DL,Delta Air Lines Inc.,2000,Y,BOEING,737-832-PSGR,42132,24
211,DL,Delta Air Lines Inc.,2000,Y,BOEING,757-231-PSGR,48400,1
212,DL,Delta Air Lines Inc.,2000,Y,BOEING,757-232-PSGR,49900,1
213,DL,Delta Air Lines Inc.,2000,Y,BOEING,757-232-PSGR,50500,11
214,DL,Delta Air Lines Inc.,2000,Y,BOEING,767-332ER-PSGR,76340,1
215,DL,Delta Air Lines Inc.,2000,Y,BOEING,767-432ER-PSGR,88120,12
216,DL,Delta Air Lines Inc.,2001,Y,AIRBUS,A319-114-PSGR,35490,13
217,DL,Delta Air Lines Inc.,2001,Y,AIRBUS,A320-212-PSGR,36952,4
218,DL,Delta Air Lines Inc.,2001,Y,BOEING,717-200-PSGR,29600,11
219,DL,Delta Air Lines Inc.,2001,Y,BOEING,737-832-PSGR,42132,27
220,DL,Delta Air Lines Inc.,2001,Y,BOEING,757-232-PSGR,49900,1
221,DL,Delta Air Lines Inc.,2001,Y,BOEING,757-232-PSGR,50500,2
222,DL,Delta Air Lines Inc.,2001,Y,BOEING,757-251-PSGR,50500,5
223,DL,Delta Air Lines Inc.,2001,Y,BOEING,767-432ER-PSGR,88120,6
224,DL,Delta Air Lines Inc.,2002,Y,AIRBUS,A319-114-PSGR,35490,22
225,DL,Delta Air Lines Inc.,2002,Y,AIRBUS,A320-212-PSGR,36952,2
226,DL,Delta Air Lines Inc.,2002,Y,BOEING,717-200-PSGR,29600,13
227,DL,Delta Air Lines Inc.,2002,Y,BOEING,737-832-PSGR,42132,4
228,DL,Delta Air Lines Inc.,2002,Y,BOEING,757-251-PSGR,50500,3
229,DL,Delta Air Lines Inc.,2002,Y,BOEING,757-351-PSGR,60990,7
230,DL,Delta Air Lines Inc.,2002,Y,BOEING,767-432ER-PSGR,88120,3
231,DL,Delta Air Lines Inc.,2003,Y,AIRBUS,A319-114-PSGR,35490,13
232,DL,Delta Air Lines Inc.,2003,Y,AIRBUS,A320-211-PSGR,36652,2
233,DL,Delta Air Lines Inc.,2003,Y,AIRBUS,A330-323-PSGR,97248,5
234,DL,Delta Air Lines Inc.,2003,Y,BOEING,757-351-PSGR,60990,9
235,DL,Delta Air Lines Inc.,2004,Y,AIRBUS,A330-223-PSGR,83300,7
236,DL,Delta Air Lines Inc.,2004,Y,AIRBUS,A330-323-PSGR,97248,3
237,DL,Delta Air Lines Inc.,2004,Y,BOEING,717-200-PSGR,29600,1
238,DL,Delta Air Lines Inc.,2004,Y,BOEING,757-26D-PSGR,49900,1
239,DL,Delta Air Lines Inc.,2004,Y,BOEING,757-26D-PSGR,50500,2
240,DL,Delta Air Lines Inc.,2005,Y,AIRBUS,A330-323-PSGR,96009,3
241,DL,Delta Air Lines Inc.,2005,Y,BOEING,717-200-PSGR,29600,1
242,DL,Delta Air Lines Inc.,2005,Y,BOEING,757-26D-PSGR,50500,2
243,DL,Delta Air Lines Inc.,2006,Y,AIRBUS,A330-223-PSGR,83300,4
244,DL,Delta Air Lines Inc.,2006,Y,AIRBUS,A330-323-PSGR,96009,3
245,DL,Delta Air Lines Inc.,2007,Y,AIRBUS,A330-323-PSGR,96009,7
246,DL,Delta Air Lines Inc.,2010,Y,BOEING,737-832-PSGR,42132,2
247,DL,Delta Air Lines Inc.,2012,Y,BOEING,737-8EH-PSGR,42132,1
248,DL,Delta Air Lines Inc.,2013,Y,BOEING,737-8EH-PSGR,42132,2
249,DL,Delta Air Lines Inc.,2013,Y,BOEING,737-932ER-PSGR,47800,12
250,DL,Delta Air Lines Inc.,2014,Y,BOEING,737-8EH-PSGR,42132,1
251,DL,Delta Air Lines Inc.,2014,Y,BOEING,737-932ER-PSGR,47800,10
252,DL,Delta Air Lines Inc.,2014,Y,BOEING,737-932ER-PSGR,47900,9
253,DL,Delta Air Lines Inc.,2015,Y,AIRBUS,A330-302-PSGR,97455,4
254,DL,Delta Air Lines Inc.,2015,Y,BOEING,737-932ER-PSGR,47800,19
255,DL,Delta Air Lines Inc.,2016,Y,AIRBUS,A321-211-PSGR,52301,15
256,DL,Delta Air Lines Inc.,2016,Y,AIRBUS,A330-302-PSGR,97455,4
257,DL,Delta Air Lines Inc.,2016,Y,BOEING,737-900ER-PSGR,47800,4
258,DL,Delta Air Lines Inc.,2016,Y,BOEING,737-932ER-PSGR,47800,15
259,DL,Delta Air Lines Inc.,2017,Y,AIRBUS,A321-211-PSGR,52301,19
260,DL,Delta Air Lines Inc.,2017,Y,AIRBUS,A330-302-PSGR,97455,2
261,DL,Delta Air Lines Inc.,2017,Y,AIRBUS,A350-941-PSGR,106984,6
262,DL,Delta Air Lines Inc.,2017,Y,BOEING,737-900ER-PSGR,47700,14
263,DL,Delta Air Lines Inc.,2017,Y,BOEING,737-900ER-PSGR,47800,6
264,DL,Delta Air Lines Inc.,2018,Y,AIRBUS,A220-100-PSGR,27700,4
265,DL,Delta Air Lines Inc.,2018,Y,AIRBUS,A321-211-PSGR,52301,31
266,DL,Delta Air Lines Inc.,2018,Y,AIRBUS,A350-941-PSGR,106984,5
267,DL,Delta Air Lines Inc.,2018,Y,BOEING,737-900ER-PSGR,47700,6
268,DL,Delta Air Lines Inc.,2018,Y,BOEING,737-900ER-PSGR,47800,12
269,DL,Delta Air Lines Inc.,2018,Y,BOEING,737-900ER-PSGR,47900,6
270,DL,Delta Air Lines Inc.,2019,Y,AIRBUS,A220-100-PSGR,27700,24
271,DL,Delta Air Lines Inc.,2019,Y,AIRBUS,A321-211-PSGR,52301,32
272,DL,Delta Air Lines Inc.,2019,Y,AIRBUS,A330-941-PSGR,87418,4
273,DL,Delta Air Lines Inc.,2019,Y,AIRBUS,A350-941-PSGR,106984,2
274,DL,Delta Air Lines Inc.,2019,Y,BOEING,737-900ER-PSGR,47800,17
275,DL,Delta Air Lines Inc.,2020,Y,AIRBUS,A220-100-PSGR,27700,10
276,DL,Delta Air Lines Inc.,2020,Y,AIRBUS,A220-300-PSGR,34200,5
277,DL,Delta Air Lines Inc.,2020,Y,AIRBUS,A321-211-PSGR,52301,8
278,DL,Delta Air Lines Inc.,2020,Y,AIRBUS,A330-941-PSGR,87418,4
279,DL,Delta Air Lines Inc.,2020,Y,AIRBUS,A350-941-PSGR,106984,2
280,F9,Frontier Airlines Inc.,2002,Y,AIRBUS,319-112,141100,1
281,F9,Frontier Airlines Inc.,2005,Y,AIRBUS,319-112,141100,2
282,F9,Frontier Airlines Inc.,2006,Y,AIRBUS,319-111,141100,1
283,F9,Frontier Airlines Inc.,2008,Y,AIRBUS,320-114,162000,2
284,F9,Frontier Airlines Inc.,2010,Y,AIRBUS,320-214,162000,3
285,F9,Frontier Airlines Inc.,2011,Y,AIRBUS,320-214,162000,4
286,F9,Frontier Airlines Inc.,2013,Y,AIRBUS,320-214,162000,3
287,F9,Frontier Airlines Inc.,2014,Y,AIRBUS,A320,162000,1
288,F9,Frontier Airlines Inc.,2015,Y,AIRBUS,320-214,162000,2
289,F9,Frontier Airlines Inc.,2015,Y,AIRBUS,321-211,206000,6
290,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,320-211,162000,1
291,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,320-214,162000,4
292,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,320-251,162000,3
293,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,321-211,206000,7
294,F9,Frontier Airlines Inc.,2017,Y,AIRBUS,320-251N,162000,13
295,F9,Frontier Airlines Inc.,2017,Y,AIRBUS,321-211,206000,6
296,F9,Frontier Airlines Inc.,2018,Y,AIRBUS,320-251N,162000,16
297,F9,Frontier Airlines Inc.,2018,Y,AIRBUS,321-211,206000,2
298,F9,Frontier Airlines Inc.,2019,Y,AIRBUS,320-251N,162000,18
299,F9,Frontier Airlines Inc.,2020,Y,AIRBUS,320-251N,162000,9
300,HA,Hawaiian Airlines Inc.,1998,Y,BOEING,B717-200,33213,2
301,HA,Hawaiian Airlines Inc.,2000,Y,BOEING,B717-200,33213,1
302,HA,Hawaiian Airlines Inc.,2001,Y,BOEING,B717-200,33213,11
303,HA,Hawaiian Airlines Inc.,2003,Y,BOEING,B717-200,33213,1
304,HA,Hawaiian Airlines Inc.,2004,Y,BOEING,B717-200,33213,3
305,HA,Hawaiian Airlines Inc.,2005,Y,BOEING,B717-200,33213,1
306,HA,Hawaiian Airlines Inc.,2010,Y,AIRBUS,A330-200,100000,3
307,HA,Hawaiian Airlines Inc.,2011,Y,AIRBUS,A330-200,100000,2
308,HA,Hawaiian Airlines Inc.,2012,Y,AIRBUS,A330-200,100000,4
309,HA,Hawaiian Airlines Inc.,2013,Y,AIRBUS,A330-200,100000,5
310,HA,Hawaiian Airlines Inc.,2014,Y,AIRBUS,A330-200,100000,5
311,HA,Hawaiian Airlines Inc.,2015,Y,AIRBUS,A330-200,100000,3
312,HA,Hawaiian Airlines Inc.,2016,Y,AIRBUS,A330-200,100000,1
313,HA,Hawaiian Airlines Inc.,2017,Y,AIRBUS,A321-200NEO,46700,2
314,HA,Hawaiian Airlines Inc.,2018,Y,AIRBUS,A321-200NEO,46700,10
315,HA,Hawaiian Airlines Inc.,2019,Y,AIRBUS,A321-200NEO,46700,5
316,NK,Spirit Air Lines,2005,Y,AIRBUS,A-319-PSGR,29000,9
317,NK,Spirit Air Lines,2006,Y,AIRBUS,A-319-PSGR,29000,12
318,NK,Spirit Air Lines,2007,Y,AIRBUS,A-319-PSGR,29000,6
319,NK,Spirit Air Lines,2008,Y,AIRBUS,A-319-PSGR,29000,2
320,NK,Spirit Air Lines,2010,Y,AIRBUS,A-319-PSGR,29000,2
321,NK,Spirit Air Lines,2010,Y,AIRBUS,A-320-PSGR,36400,6
322,NK,Spirit Air Lines,2011,Y,AIRBUS,A-320-PSGR,36400,5
323,NK,Spirit Air Lines,2012,Y,AIRBUS,A-320-PSGR,36400,7
324,NK,Spirit Air Lines,2013,Y,AIRBUS,A-320-PSGR,36400,7
325,NK,Spirit Air Lines,2014,Y,AIRBUS,A-320-PSGR,36400,10
326,NK,Spirit Air Lines,2015,Y,AIRBUS,A-320-PSGR,36400,8
327,NK,Spirit Air Lines,2015,Y,AIRBUS,A-321-PSGR,45600,6
328,NK,Spirit Air Lines,2016,Y,AIRBUS,A-320-PSGR,36400,8
329,NK,Spirit Air Lines,2016,Y,AIRBUS,A-321-PSGR,45600,8
330,NK,Spirit Air Lines,2017,Y,AIRBUS,A-320-PSGR,36400,7
